"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Grid_Mean","Grid_SD","Threshold_P90","Threshold_P95","Threshold_P99","Threshold_Mean_Plus_2SD"
"XGBoost","Repeat_26_Fold_01",26,"Fold_01",1,0.0727866090128373,0.209656031719794,0.19789815992117,0.598806270956992,0.976536657810211,0.492098672452426
"XGBoost","Repeat_26_Fold_02",26,"Fold_02",2,0.0837994795630948,0.20045354098522,0.339081186056137,0.657239460945129,0.920508623123169,0.484706561533535
"XGBoost","Repeat_26_Fold_03",26,"Fold_03",3,0.0732888833841813,0.174906780875252,0.222472622990608,0.510495179891584,0.901001989841461,0.423102445134685
"XGBoost","Repeat_26_Fold_04",26,"Fold_04",4,0.119556999835477,0.242933955765816,0.521166563034058,0.819310760498047,0.944722414016724,0.605424911367108
"XGBoost","Repeat_26_Fold_05",26,"Fold_05",5,0.0626192605239339,0.174434567242946,0.174442102015019,0.461378562450409,0.938688677549362,0.411488395009825
"XGBoost","Repeat_27_Fold_01",27,"Fold_01",1,0.0727092886197958,0.210201157288061,0.151333153247833,0.708490094542501,0.974481880664825,0.493111603195917
"XGBoost","Repeat_27_Fold_02",27,"Fold_02",2,0.0903620164952008,0.16682413224536,0.209632605314255,0.446121692657471,0.890336573123932,0.42401028098592
"XGBoost","Repeat_27_Fold_03",27,"Fold_03",3,0.0357498486320856,0.133552103476039,0.0465095676481724,0.161540430039167,0.837142751216889,0.302854055584164
"XGBoost","Repeat_27_Fold_04",27,"Fold_04",4,0.0451707361507821,0.165842233725567,0.0346806533634663,0.206574667245149,0.968320310711861,0.376855203601915
"XGBoost","Repeat_27_Fold_05",27,"Fold_05",5,0.0871926424147872,0.158571063640758,0.167556673288345,0.478363335132599,0.874888896942139,0.404334769696304
"XGBoost","Repeat_28_Fold_01",28,"Fold_01",1,0.0854776441042001,0.192179047281606,0.223836165666581,0.620847284793854,0.900901741981507,0.469835738667412
"XGBoost","Repeat_28_Fold_02",28,"Fold_02",2,0.10103903361635,0.201441211156241,0.31147500872612,0.692543745040894,0.919902861118317,0.503921455928831
