"CellID","X","Y","XGB_Mean_Probability","XGB_SD_Probability","XGB_Min_Probability","XGB_Max_Probability","XGB_Prediction_n"
101,531513.5791,4419964.11,0.014698476161963,0.0100446405318871,0.00194506428670138,0.065870501101017,150
102,531538.5791,4419964.11,0.0145789184134143,0.0100170342809431,0.00194506428670138,0.065870501101017,150
103,531563.5791,4419964.11,0.0145078564768968,0.0100179992840666,0.00194506428670138,0.065870501101017,150
104,531588.5791,4419964.11,0.0131368086735408,0.00975593866830973,0.00168358767405152,0.071483738720417,150
105,531613.5791,4419964.11,0.0131550031527877,0.00980139912984379,0.00168358767405152,0.071483738720417,150
106,531638.5791,4419964.11,0.0132998197750809,0.00988119041705407,0.00170040258672088,0.0733976662158966,150
107,531663.5791,4419964.11,0.0225445615290664,0.0197294383237128,0.00173574255313724,0.143572852015495,150
108,531688.5791,4419964.11,0.0156190683576278,0.0126646213948707,0.00167950766626745,0.101647056639194,150
109,531713.5791,4419964.11,0.0147226778115146,0.0103105806145871,0.00167950766626745,0.0609043948352337,150
110,531738.5791,4419964.11,0.0144243460668561,0.00957445346807883,0.00167950766626745,0.0439792647957802,150
111,531763.5791,4419964.11,0.0145368864674432,0.00956041517000655,0.00167950766626745,0.0439792647957802,150
112,531788.5791,4419964.11,0.0179005233023781,0.0163731229629157,0.000869463488925248,0.104857012629509,150
113,531813.5791,4419964.11,0.0168661897439354,0.0147245186512988,0.000869463488925248,0.104857012629509,150
114,531838.5791,4419964.11,0.0141975851826525,0.0132278703966026,0.000869463488925248,0.104857012629509,150
115,531863.5791,4419964.11,0.0107748125679791,0.00759218705808368,0.000967143103480339,0.0374582149088383,150
116,531888.5791,4419964.11,0.0106929614208639,0.00751351083226999,0.000967143103480339,0.0374582149088383,150
117,531913.5791,4419964.11,0.0106929614208639,0.00751351083226999,0.000967143103480339,0.0374582149088383,150
118,531938.5791,4419964.11,0.0106929614208639,0.00751351083226999,0.000967143103480339,0.0374582149088383,150
119,531963.5791,4419964.11,0.0106929614208639,0.00751351083226999,0.000967143103480339,0.0374582149088383,150
120,531988.5791,4419964.11,0.0106929614208639,0.00751351083226999,0.000967143103480339,0.0374582149088383,150
121,532013.5791,4419964.11,0.0106929614208639,0.00751351083226999,0.000967143103480339,0.0374582149088383,150
122,532038.5791,4419964.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
123,532063.5791,4419964.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
124,532088.5791,4419964.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
125,532113.5791,4419964.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
126,532138.5791,4419964.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
127,532163.5791,4419964.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
128,532188.5791,4419964.11,0.00966800305371483,0.00699972808950447,0.000881423824466765,0.0374582149088383,150
129,532213.5791,4419964.11,0.00941303721823109,0.00681196661296288,0.000782602292019874,0.0374582149088383,150
130,532238.5791,4419964.11,0.00941303721823109,0.00681196661296288,0.000782602292019874,0.0374582149088383,150
