"CellID","X","Y","RF_Mean_Probability","RF_SD_Probability","RF_Min_Probability","RF_Max_Probability","RF_Prediction_n","Final_Model","Final_Threshold_Method","Final_Threshold","Prospective_P90","Prospectivity_Class"
139,532463.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
140,532488.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
141,532513.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
142,532538.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
143,532563.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
144,532588.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
145,532613.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
146,532638.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
147,532663.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
148,532688.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
149,532713.5791,4419964.11,0.00874316578688078,0.00431251823318032,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
150,532738.5791,4419964.11,0.0127740130345106,0.00578623322365092,0,0.0278553014967563,150,"RF","P90",0.0831089141044258,0,"Below_P90"
151,532763.5791,4419964.11,0.0191659017115681,0.010270228354518,0,0.0836666666666667,150,"RF","P90",0.0831089141044258,0,"Below_P90"
152,532788.5791,4419964.11,0.0191659017115681,0.010270228354518,0,0.0836666666666667,150,"RF","P90",0.0831089141044258,0,"Below_P90"
153,532813.5791,4419964.11,0.00873427689799189,0.00430687142152028,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
