"Algorithm","Run_ID","Repeat","Fold_ID","Grid_ID","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","scale_pos_weight","Best_Iteration","Inner_CV_Logloss"
"XGBoost","Repeat_03_Fold_05",3,"Fold_05",4,0.1,4,1,0.8,0.8,0,25,30,0.238964455632063
"XGBoost","Repeat_03_Fold_05",3,"Fold_05",5,0.03,2,3,0.8,0.8,0,25,153,0.210475804409585
"XGBoost","Repeat_03_Fold_05",3,"Fold_05",6,0.1,2,3,0.8,0.8,0,25,51,0.236453176314871
"XGBoost","Repeat_03_Fold_05",3,"Fold_05",7,0.03,4,3,0.8,0.8,0,25,194,0.188997221931529
"XGBoost","Repeat_03_Fold_05",3,"Fold_05",8,0.1,4,3,0.8,0.8,0,25,70,0.233720771457928
"XGBoost","Repeat_04_Fold_01",4,"Fold_01",1,0.03,2,1,0.8,0.8,0,25,136,0.200788990433256
"XGBoost","Repeat_04_Fold_01",4,"Fold_01",2,0.1,2,1,0.8,0.8,0,25,80,0.195177629366159
"XGBoost","Repeat_04_Fold_01",4,"Fold_01",3,0.03,4,1,0.8,0.8,0,25,130,0.217365723210745
"XGBoost","Repeat_04_Fold_01",4,"Fold_01",4,0.1,4,1,0.8,0.8,0,25,72,0.19865613633122
"XGBoost","Repeat_04_Fold_01",4,"Fold_01",5,0.03,2,3,0.8,0.8,0,25,334,0.18995621304762
"XGBoost","Repeat_04_Fold_01",4,"Fold_01",6,0.1,2,3,0.8,0.8,0,25,104,0.202686017786618
"XGBoost","Repeat_04_Fold_01",4,"Fold_01",7,0.03,4,3,0.8,0.8,0,25,236,0.200963335210243
"XGBoost","Repeat_04_Fold_01",4,"Fold_01",8,0.1,4,3,0.8,0.8,0,25,195,0.185110699636145
"XGBoost","Repeat_04_Fold_02",4,"Fold_02",1,0.03,2,1,0.8,0.8,0,25,133,0.211505226558074
"XGBoost","Repeat_04_Fold_02",4,"Fold_02",2,0.1,2,1,0.8,0.8,0,25,42,0.256760139080982
"XGBoost","Repeat_04_Fold_02",4,"Fold_02",3,0.03,4,1,0.8,0.8,0,25,101,0.216813932817716
"XGBoost","Repeat_04_Fold_02",4,"Fold_02",4,0.1,4,1,0.8,0.8,0,25,34,0.290162960443502
"XGBoost","Repeat_04_Fold_02",4,"Fold_02",5,0.03,2,3,0.8,0.8,0,25,158,0.231484848952207
"XGBoost","Repeat_04_Fold_02",4,"Fold_02",6,0.1,2,3,0.8,0.8,0,25,83,0.208292471119561
"XGBoost","Repeat_04_Fold_02",4,"Fold_02",7,0.03,4,3,0.8,0.8,0,25,145,0.285957794439477
"XGBoost","Repeat_04_Fold_02",4,"Fold_02",8,0.1,4,3,0.8,0.8,0,25,34,0.246693881049466
"XGBoost","Repeat_04_Fold_03",4,"Fold_03",1,0.03,2,1,0.8,0.8,0,25,87,0.265761255394094
"XGBoost","Repeat_04_Fold_03",4,"Fold_03",2,0.1,2,1,0.8,0.8,0,25,34,0.236042022812538
"XGBoost","Repeat_04_Fold_03",4,"Fold_03",3,0.03,4,1,0.8,0.8,0,25,102,0.196548149132958
"XGBoost","Repeat_04_Fold_03",4,"Fold_03",4,0.1,4,1,0.8,0.8,0,25,26,0.24649037918649
"XGBoost","Repeat_04_Fold_03",4,"Fold_03",5,0.03,2,3,0.8,0.8,0,25,144,0.202848896473789
"XGBoost","Repeat_04_Fold_03",4,"Fold_03",6,0.1,2,3,0.8,0.8,0,25,225,0.182789609848092
"XGBoost","Repeat_04_Fold_03",4,"Fold_03",7,0.03,4,3,0.8,0.8,0,25,134,0.235085180942686
"XGBoost","Repeat_04_Fold_03",4,"Fold_03",8,0.1,4,3,0.8,0.8,0,25,81,0.262038190437194
"XGBoost","Repeat_04_Fold_04",4,"Fold_04",1,0.03,2,1,0.8,0.8,0,25,264,0.168468519622156
"XGBoost","Repeat_04_Fold_04",4,"Fold_04",2,0.1,2,1,0.8,0.8,0,25,35,0.269148908143577
"XGBoost","Repeat_04_Fold_04",4,"Fold_04",3,0.03,4,1,0.8,0.8,0,25,264,0.154664161509852
"XGBoost","Repeat_04_Fold_04",4,"Fold_04",4,0.1,4,1,0.8,0.8,0,25,52,0.260951442823101
"XGBoost","Repeat_04_Fold_04",4,"Fold_04",5,0.03,2,3,0.8,0.8,0,25,343,0.195310472551053
"XGBoost","Repeat_04_Fold_04",4,"Fold_04",6,0.1,2,3,0.8,0.8,0,25,44,0.270273303684707
"XGBoost","Repeat_04_Fold_04",4,"Fold_04",7,0.03,4,3,0.8,0.8,0,25,147,0.216827052018534
"XGBoost","Repeat_04_Fold_04",4,"Fold_04",8,0.1,4,3,0.8,0.8,0,25,41,0.227021851845515
"XGBoost","Repeat_04_Fold_05",4,"Fold_05",1,0.03,2,1,0.8,0.8,0,25,116,0.254279118908856
"XGBoost","Repeat_04_Fold_05",4,"Fold_05",2,0.1,2,1,0.8,0.8,0,25,33,0.260656553499687
"XGBoost","Repeat_04_Fold_05",4,"Fold_05",3,0.03,4,1,0.8,0.8,0,25,138,0.149973099567712
"XGBoost","Repeat_04_Fold_05",4,"Fold_05",4,0.1,4,1,0.8,0.8,0,25,20,0.316206545210802
"XGBoost","Repeat_04_Fold_05",4,"Fold_05",5,0.03,2,3,0.8,0.8,0,25,173,0.275880352477543
"XGBoost","Repeat_04_Fold_05",4,"Fold_05",6,0.1,2,3,0.8,0.8,0,25,64,0.248234299056304
"XGBoost","Repeat_04_Fold_05",4,"Fold_05",7,0.03,4,3,0.8,0.8,0,25,94,0.247175172329522
"XGBoost","Repeat_04_Fold_05",4,"Fold_05",8,0.1,4,3,0.8,0.8,0,25,29,0.236818747362122
"XGBoost","Repeat_05_Fold_01",5,"Fold_01",1,0.03,2,1,0.8,0.8,0,25,165,0.193286020747529
"XGBoost","Repeat_05_Fold_01",5,"Fold_01",2,0.1,2,1,0.8,0.8,0,25,52,0.161930670594582
"XGBoost","Repeat_05_Fold_01",5,"Fold_01",3,0.03,4,1,0.8,0.8,0,25,118,0.203117714370959
"XGBoost","Repeat_05_Fold_01",5,"Fold_01",4,0.1,4,1,0.8,0.8,0,25,43,0.235000175155269
"XGBoost","Repeat_05_Fold_01",5,"Fold_01",5,0.03,2,3,0.8,0.8,0,25,121,0.233759485435887
"XGBoost","Repeat_05_Fold_01",5,"Fold_01",6,0.1,2,3,0.8,0.8,0,25,129,0.163433448939871
"XGBoost","Repeat_05_Fold_01",5,"Fold_01",7,0.03,4,3,0.8,0.8,0,25,117,0.213111416794933
"XGBoost","Repeat_05_Fold_01",5,"Fold_01",8,0.1,4,3,0.8,0.8,0,25,38,0.18705080034068
"XGBoost","Repeat_05_Fold_02",5,"Fold_02",1,0.03,2,1,0.8,0.8,0,25,211,0.145519205660094
"XGBoost","Repeat_05_Fold_02",5,"Fold_02",2,0.1,2,1,0.8,0.8,0,25,72,0.200792790804721
"XGBoost","Repeat_05_Fold_02",5,"Fold_02",3,0.03,4,1,0.8,0.8,0,25,132,0.177911873960581
"XGBoost","Repeat_05_Fold_02",5,"Fold_02",4,0.1,4,1,0.8,0.8,0,25,35,0.171838527831894
"XGBoost","Repeat_05_Fold_02",5,"Fold_02",5,0.03,2,3,0.8,0.8,0,25,136,0.196246799171114
"XGBoost","Repeat_05_Fold_02",5,"Fold_02",6,0.1,2,3,0.8,0.8,0,25,34,0.21409578445869
"XGBoost","Repeat_05_Fold_02",5,"Fold_02",7,0.03,4,3,0.8,0.8,0,25,169,0.165095234021115
"XGBoost","Repeat_05_Fold_02",5,"Fold_02",8,0.1,4,3,0.8,0.8,0,25,31,0.202628689656894
"XGBoost","Repeat_05_Fold_03",5,"Fold_03",1,0.03,2,1,0.8,0.8,0,25,227,0.169891749922849
"XGBoost","Repeat_05_Fold_03",5,"Fold_03",2,0.1,2,1,0.8,0.8,0,25,54,0.17052617032851
"XGBoost","Repeat_05_Fold_03",5,"Fold_03",3,0.03,4,1,0.8,0.8,0,25,130,0.223530035268945
"XGBoost","Repeat_05_Fold_03",5,"Fold_03",4,0.1,4,1,0.8,0.8,0,25,37,0.205098099343909
