"CellID","X","Y","SVM_Mean_Probability","SVM_SD_Probability","SVM_Min_Probability","SVM_Max_Probability","SVM_Prediction_n"
59,532463.5791,4419989.11,0.0231134239772204,0.0225876999582812,0.000578531838832333,0.111932605472803,150
60,532488.5791,4419989.11,0.0229807992604621,0.0226684795740531,0.000578606692672243,0.110124919572501,150
61,532513.5791,4419989.11,0.0230599738683324,0.0229380667546413,0.000581029410980927,0.110660601995102,150
62,532538.5791,4419989.11,0.02310518091254,0.0230945667992978,0.000588502941777803,0.11067105883659,150
63,532563.5791,4419989.11,0.0231617788970349,0.0232583799999074,0.0005957665592312,0.110660987000619,150
64,532588.5791,4419989.11,0.0232319806309014,0.0234375255619123,0.00059998811174475,0.110671506847788,150
65,532613.5791,4419989.11,0.0233153032241964,0.0236318149414234,0.000589406238956039,0.110702160990628,150
66,532638.5791,4419989.11,0.0233334906529087,0.0236689418213326,0.000575996097966465,0.108380641645036,150
67,532663.5791,4419989.11,0.0234352462989135,0.0238901681453363,0.000565757202762351,0.108447536015485,150
68,532688.5791,4419989.11,0.0235485419998827,0.0241261028148105,0.000555685709359841,0.108532558570392,150
69,532713.5791,4419989.11,0.0236259844006392,0.0236063260160834,0.000586287126118952,0.100189631616018,150
70,532738.5791,4419989.11,0.0236949273603536,0.0238663000121423,0.00057564031590126,0.102829003453264,150
71,532763.5791,4419989.11,0.0238408273820492,0.0241690481114351,0.000563666692063719,0.106207255768555,150
72,532788.5791,4419989.11,0.0240743764757004,0.0245744186952705,0.00054329277987748,0.10909092211822,150
73,532813.5791,4419989.11,0.0241832898346634,0.0248802751591217,0.000533542600888267,0.11201251666848,150
74,532838.5791,4419989.11,0.0239631373722821,0.0248248788570578,0.000551723430786432,0.111193838833269,150
75,532863.5791,4419989.11,0.0241063713754316,0.0251665053993157,0.000541684898285821,0.114340418488884,150
76,532888.5791,4419989.11,0.0245433015810167,0.0256220598048655,0.000574653288920826,0.12035660890462,150
77,532913.5791,4419989.11,0.0246223135945857,0.0259919146738957,0.00055336126292411,0.123545116490579,150
78,532938.5791,4419989.11,0.0246794098021939,0.0263538880373593,0.00052283223789041,0.12641491887653,150
79,532963.5791,4419989.11,0.0248583857442116,0.0267460978464162,0.000513973590690307,0.129767738537623,150
80,532988.5791,4419989.11,0.0250565861837885,0.0271714807754288,0.00050371336774252,0.133378003947175,150
81,531013.5791,4419964.11,0.0243954083684089,0.0222169214692614,0.000446081903665331,0.117517359859879,150
82,531038.5791,4419964.11,0.0242832098164974,0.0219045267623511,0.000456008972072597,0.116630857668075,150
83,531063.5791,4419964.11,0.0241694803915065,0.0215979782526355,0.000466574720208536,0.115768418404033,150
84,531088.5791,4419964.11,0.024053709960188,0.0212978194369573,0.000477854552906612,0.114931692416144,150
85,531113.5791,4419964.11,0.0240645253521567,0.0215208859095529,0.000464087518946863,0.114922707364194,150
86,531138.5791,4419964.11,0.023980276832362,0.0212565696546821,0.000473126950127388,0.114113244130488,150
87,531163.5791,4419964.11,0.0238937794107235,0.0209981698745569,0.000482795164301471,0.113334115291517,150
88,531188.5791,4419964.11,0.0238035835115308,0.0207456795264001,0.000493190012276824,0.112587077647482,150
89,531213.5791,4419964.11,0.0237141170847725,0.0205022225714586,0.000503938384630388,0.111869190971714,150
90,531238.5791,4419964.11,0.0236505979449655,0.0202802981553925,0.000512749471438176,0.111161541927164,150
91,531263.5791,4419964.11,0.0236005357938632,0.0200730824404274,0.000520737087953338,0.110476486679498,150
92,531288.5791,4419964.11,0.0235462341810778,0.0198723507582385,0.000529367344020678,0.109828054672517,150
93,531313.5791,4419964.11,0.0234753963114405,0.0196414771668122,0.000547532768563806,0.109788001691339,150
94,531338.5791,4419964.11,0.0234257927423236,0.01946045537267,0.000556305354460227,0.109196275681077,150
95,531363.5791,4419964.11,0.023405909304687,0.0193009063503456,0.000562809128797168,0.108619673270117,150
96,531388.5791,4419964.11,0.0233785765716861,0.019147416846352,0.000569975111597489,0.108085464352051,150
97,531413.5791,4419964.11,0.0249144520801256,0.0192095764336505,0.000565947180221322,0.0966402325097133,150
98,531438.5791,4419964.11,0.0239391341399798,0.0181433385543852,0.000547723596453655,0.0980074044572814,150
99,531463.5791,4419964.11,0.0250443427293449,0.0191416487766341,0.000598790060041964,0.0971727981572119,150
100,531488.5791,4419964.11,0.0249913414220915,0.0190059872568049,0.000606673881793079,0.0961639306859093,150
101,531513.5791,4419964.11,0.0249093061410429,0.0188684036408898,0.000615384815154553,0.0949219401947489,150
102,531538.5791,4419964.11,0.0248041836329157,0.0187329762239522,0.000624752160930463,0.0938102626810116,150
