"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Grid_Mean","Grid_SD","Threshold_P90","Threshold_P95","Threshold_P99","Threshold_Mean_Plus_2SD"
"SVM","Repeat_10_Fold_04",10,"Fold_04",4,0.0403993456612504,0.0992491990537109,0.0337968237728004,0.0613657751328933,0.63975505219518,0.238897743768672
"SVM","Repeat_10_Fold_05",10,"Fold_05",5,0.0336010291975842,0.0199377633475314,0.0613655473607014,0.0713506123351006,0.100152827626032,0.0734765558926471
"SVM","Repeat_11_Fold_01",11,"Fold_01",1,0.0403497880006704,0.0192113687002014,0.0698328033210031,0.0783489785110464,0.0906539569087,0.0787725254010733
"SVM","Repeat_11_Fold_02",11,"Fold_02",2,0.0428249576355131,0.0190731519092593,0.0668632737187321,0.0758965535091174,0.106733285540144,0.0809712614540316
"SVM","Repeat_11_Fold_03",11,"Fold_03",3,0.0411709413953863,0.00648793548652628,0.0499671974642263,0.0519614328712976,0.0589582674929319,0.0541468123684389
"SVM","Repeat_11_Fold_04",11,"Fold_04",4,0.0400194815315177,0.0347483659828061,0.0732863480539356,0.0903171145295307,0.190792482597246,0.10951621349713
"SVM","Repeat_11_Fold_05",11,"Fold_05",5,0.0420057284555067,0.00935721422260217,0.0450657921166687,0.0470621936878113,0.0846636352443297,0.060720156900711
"SVM","Repeat_12_Fold_01",12,"Fold_01",1,0.0392977851501285,0.0168065425311771,0.0653874055980309,0.0721880593788368,0.0818049279258008,0.0729108702124826
"SVM","Repeat_12_Fold_02",12,"Fold_02",2,0.03892586298418,0.0415002543448323,0.104349510958036,0.13560293978246,0.172931237952144,0.121926371673845
"SVM","Repeat_12_Fold_03",12,"Fold_03",3,0.0411467436726217,0.0016951481675788,0.0435060968995459,0.0441529108321832,0.0451497261567169,0.0445370400077793
"SVM","Repeat_12_Fold_04",12,"Fold_04",4,0.0366907048439508,0.0361860103671916,0.0780879090745242,0.11818629829899,0.19344717475871,0.109062725578334
"SVM","Repeat_12_Fold_05",12,"Fold_05",5,0.0337326155269671,0.0314211724220599,0.08112812561311,0.0960938489330332,0.124554275966504,0.0965749603710869
"SVM","Repeat_13_Fold_01",13,"Fold_01",1,0.0458567719011475,0.0449731323920589,0.119114098347359,0.144145616969891,0.18188345871556,0.135803036685265
"SVM","Repeat_13_Fold_02",13,"Fold_02",2,0.0436062818975161,0.0557802110563936,0.140010926491804,0.167823038201734,0.217965060861644,0.155166704010303
"SVM","Repeat_13_Fold_03",13,"Fold_03",3,0.0448289292934119,0.040052111121972,0.109549677414066,0.129820798822329,0.166644806958607,0.124933151537356
"SVM","Repeat_13_Fold_04",13,"Fold_04",4,0.0451009428187315,0.113064419091901,0.0964190035729627,0.236910033822886,0.638006756703237,0.271229781002533
"SVM","Repeat_13_Fold_05",13,"Fold_05",5,0.0473783713469556,0.0537648467237758,0.133349467482216,0.167009381687005,0.218334725108347,0.154908064794507
"SVM","Repeat_14_Fold_01",14,"Fold_01",1,0.0399196737441184,0.0935764894054265,0.0385216509685135,0.0456818865557015,0.602457835767542,0.227072652554971
"SVM","Repeat_14_Fold_02",14,"Fold_02",2,0.0410463814920477,0.0160524513616444,0.0660498254242888,0.0704765851650556,0.0757512515722952,0.0731512842153365
"SVM","Repeat_14_Fold_03",14,"Fold_03",3,0.0412677444101739,0.0101528429268806,0.0559972366312434,0.0593302135381326,0.0649466937803492,0.061573430263935
"SVM","Repeat_14_Fold_04",14,"Fold_04",4,0.0370729054462142,0.0506880130052025,0.0665522156188199,0.114437111992716,0.285150597619502,0.138448931456619
"SVM","Repeat_14_Fold_05",14,"Fold_05",5,0.0414769568830172,0.000602350383878218,0.0422914936004783,0.0424267130609402,0.04260835651111,0.0426816576507737
"SVM","Repeat_15_Fold_01",15,"Fold_01",1,0.040989341142506,0.00462720855998165,0.0426354126830947,0.0432319314621887,0.0579234486072587,0.0502437582624693
"SVM","Repeat_15_Fold_02",15,"Fold_02",2,0.0387107963007386,0.0409389980314141,0.10645094646538,0.131837855058971,0.163532831192174,0.120588792363567
"SVM","Repeat_15_Fold_03",15,"Fold_03",3,0.0450810256859685,0.0239322264889978,0.0822861192344077,0.093334540655483,0.107121265646845,0.0929454786639641
"SVM","Repeat_15_Fold_04",15,"Fold_04",4,0.040974294131985,0.00486539852017701,0.0462094058769535,0.0495447105178174,0.0551304200196887,0.0507050911723391
"SVM","Repeat_15_Fold_05",15,"Fold_05",5,0.0359787782897389,0.0251349229234959,0.0758337572588402,0.0867095215532687,0.10420057814053,0.0862486241367307
"SVM","Repeat_16_Fold_01",16,"Fold_01",1,0.042138028333669,0.021031234618499,0.0745084579219757,0.0840229610917909,0.0950822015326197,0.084200497570667
