"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Held_Out_CellID","Held_Out_Occurrence_Probability","Kernel","Cost","Gamma","Class_Weight_PseudoBackground","Class_Weight_Occurrence","Inner_nfold","Inner_CV_Logloss","Scaling_Applied","SVM_Seed","QAQC_Status"
"SVM","Repeat_27_Fold_04",27,"Fold_04",4,5000,0.0485736915341136,"radial",1,0.01,1,25,4,0.141690568601424,TRUE,11704,"PASS"
"SVM","Repeat_27_Fold_05",27,"Fold_05",5,6362,0.106912329839201,"radial",100,0.1,1,25,4,0.14951955777107,TRUE,11705,"PASS"
"SVM","Repeat_28_Fold_01",28,"Fold_01",1,4678,0.0751971164349697,"radial",1,0.01,1,25,4,0.146564263544813,TRUE,11801,"PASS"
"SVM","Repeat_28_Fold_02",28,"Fold_02",2,5882,0.0564377138895502,"radial",10,0.01,1,25,4,0.144028471439747,TRUE,11802,"PASS"
"SVM","Repeat_28_Fold_03",28,"Fold_03",3,5972,0.0623671994041496,"radial",1,0.01,1,25,4,0.153835329126342,TRUE,11803,"PASS"
"SVM","Repeat_28_Fold_04",28,"Fold_04",4,5000,0.035879916387839,"radial",0.1,0.1,1,25,4,0.152319461473746,TRUE,11804,"PASS"
"SVM","Repeat_28_Fold_05",28,"Fold_05",5,6362,0.04057160641233,"radial",10,0.01,1,25,4,0.15354081693169,TRUE,11805,"PASS"
"SVM","Repeat_29_Fold_01",29,"Fold_01",1,4678,0.0794313918478786,"radial",1,0.01,1,25,4,0.165111665534794,TRUE,11901,"PASS"
"SVM","Repeat_29_Fold_02",29,"Fold_02",2,5882,0.0115740080316403,"radial",100,0.01,1,25,4,0.154921739979996,TRUE,11902,"PASS"
"SVM","Repeat_29_Fold_03",29,"Fold_03",3,5972,0.0436987482735345,"radial",10,1,1,25,4,0.162733049142265,TRUE,11903,"PASS"
"SVM","Repeat_29_Fold_04",29,"Fold_04",4,5000,0.00500059733055845,"radial",10,0.1,1,25,4,0.117826573513426,TRUE,11904,"PASS"
"SVM","Repeat_29_Fold_05",29,"Fold_05",5,6362,0.0627721511017356,"radial",1,0.01,1,25,4,0.150464999813344,TRUE,11905,"PASS"
"SVM","Repeat_30_Fold_01",30,"Fold_01",1,4678,0.0443908747645129,"radial",100,1,1,25,4,0.139376259152302,TRUE,12001,"PASS"
"SVM","Repeat_30_Fold_02",30,"Fold_02",2,5882,0.0157101354257025,"radial",100,0.01,1,25,4,0.132029329357353,TRUE,12002,"PASS"
"SVM","Repeat_30_Fold_03",30,"Fold_03",3,5972,0.111853744903671,"radial",1,0.01,1,25,4,0.153674850064841,TRUE,12003,"PASS"
"SVM","Repeat_30_Fold_04",30,"Fold_04",4,5000,0.0415169013120149,"radial",10,1,1,25,4,0.136049024415479,TRUE,12004,"PASS"
"SVM","Repeat_30_Fold_05",30,"Fold_05",5,6362,0.0758933889111926,"radial",100,0.01,1,25,4,0.161894390259161,TRUE,12005,"PASS"
