"Algorithm","Run_ID","Repeat","Fold_ID","Grid_ID","Kernel","Cost","Gamma","Inner_nfold","Inner_CV_Logloss"
"SVM","Repeat_04_Fold_02",4,"Fold_02",6,"radial",1,0.1,4,0.210797341928088
"SVM","Repeat_04_Fold_02",4,"Fold_02",7,"radial",10,0.1,4,0.251004912546313
"SVM","Repeat_04_Fold_02",4,"Fold_02",8,"radial",100,0.1,4,0.236036385390151
"SVM","Repeat_04_Fold_02",4,"Fold_02",9,"radial",0.1,1,4,0.165940019943796
"SVM","Repeat_04_Fold_02",4,"Fold_02",10,"radial",1,1,4,0.115251333677928
"SVM","Repeat_04_Fold_02",4,"Fold_02",11,"radial",10,1,4,0.110375258451552
"SVM","Repeat_04_Fold_02",4,"Fold_02",12,"radial",100,1,4,0.124549954682788
"SVM","Repeat_04_Fold_03",4,"Fold_03",1,"radial",0.1,0.01,4,0.173858313707209
"SVM","Repeat_04_Fold_03",4,"Fold_03",2,"radial",1,0.01,4,0.146364267640267
"SVM","Repeat_04_Fold_03",4,"Fold_03",3,"radial",10,0.01,4,0.157431516372554
"SVM","Repeat_04_Fold_03",4,"Fold_03",4,"radial",100,0.01,4,0.155593532312579
"SVM","Repeat_04_Fold_03",4,"Fold_03",5,"radial",0.1,0.1,4,0.161075871238838
"SVM","Repeat_04_Fold_03",4,"Fold_03",6,"radial",1,0.1,4,0.179161691680911
"SVM","Repeat_04_Fold_03",4,"Fold_03",7,"radial",10,0.1,4,0.17942135254808
"SVM","Repeat_04_Fold_03",4,"Fold_03",8,"radial",100,0.1,4,0.18770501107456
"SVM","Repeat_04_Fold_03",4,"Fold_03",9,"radial",0.1,1,4,0.157851609318296
"SVM","Repeat_04_Fold_03",4,"Fold_03",10,"radial",1,1,4,0.160643012006832
"SVM","Repeat_04_Fold_03",4,"Fold_03",11,"radial",10,1,4,0.151372036615636
"SVM","Repeat_04_Fold_03",4,"Fold_03",12,"radial",100,1,4,0.148988867082375
"SVM","Repeat_04_Fold_04",4,"Fold_04",1,"radial",0.1,0.01,4,0.156982753612521
"SVM","Repeat_04_Fold_04",4,"Fold_04",2,"radial",1,0.01,4,0.146851592157516
"SVM","Repeat_04_Fold_04",4,"Fold_04",3,"radial",10,0.01,4,0.158595682629714
"SVM","Repeat_04_Fold_04",4,"Fold_04",4,"radial",100,0.01,4,0.189818868888904
"SVM","Repeat_04_Fold_04",4,"Fold_04",5,"radial",0.1,0.1,4,0.159674736674454
"SVM","Repeat_04_Fold_04",4,"Fold_04",6,"radial",1,0.1,4,0.1553262291029
"SVM","Repeat_04_Fold_04",4,"Fold_04",7,"radial",10,0.1,4,0.149347978461617
"SVM","Repeat_04_Fold_04",4,"Fold_04",8,"radial",100,0.1,4,0.140482756351336
"SVM","Repeat_04_Fold_04",4,"Fold_04",9,"radial",0.1,1,4,0.177521576603382
"SVM","Repeat_04_Fold_04",4,"Fold_04",10,"radial",1,1,4,0.1697012575501
"SVM","Repeat_04_Fold_04",4,"Fold_04",11,"radial",10,1,4,0.162822903591563
"SVM","Repeat_04_Fold_04",4,"Fold_04",12,"radial",100,1,4,0.151276254253917
"SVM","Repeat_04_Fold_05",4,"Fold_05",1,"radial",0.1,0.01,4,0.159223825001204
"SVM","Repeat_04_Fold_05",4,"Fold_05",2,"radial",1,0.01,4,0.153070321854608
"SVM","Repeat_04_Fold_05",4,"Fold_05",3,"radial",10,0.01,4,0.158380194036464
"SVM","Repeat_04_Fold_05",4,"Fold_05",4,"radial",100,0.01,4,0.173016763362408
"SVM","Repeat_04_Fold_05",4,"Fold_05",5,"radial",0.1,0.1,4,0.16161461153861
"SVM","Repeat_04_Fold_05",4,"Fold_05",6,"radial",1,0.1,4,0.167886813391273
"SVM","Repeat_04_Fold_05",4,"Fold_05",7,"radial",10,0.1,4,0.188429794950288
"SVM","Repeat_04_Fold_05",4,"Fold_05",8,"radial",100,0.1,4,0.176610183180724
"SVM","Repeat_04_Fold_05",4,"Fold_05",9,"radial",0.1,1,4,0.156823260866732
"SVM","Repeat_04_Fold_05",4,"Fold_05",10,"radial",1,1,4,0.146299112828841
"SVM","Repeat_04_Fold_05",4,"Fold_05",11,"radial",10,1,4,0.168294425765515
"SVM","Repeat_04_Fold_05",4,"Fold_05",12,"radial",100,1,4,0.149604624319541
"SVM","Repeat_05_Fold_01",5,"Fold_01",1,"radial",0.1,0.01,4,0.183143035560771
"SVM","Repeat_05_Fold_01",5,"Fold_01",2,"radial",1,0.01,4,0.152516075769732
"SVM","Repeat_05_Fold_01",5,"Fold_01",3,"radial",10,0.01,4,0.169837223188028
"SVM","Repeat_05_Fold_01",5,"Fold_01",4,"radial",100,0.01,4,0.173731932533873
"SVM","Repeat_05_Fold_01",5,"Fold_01",5,"radial",0.1,0.1,4,0.183442529854586
"SVM","Repeat_05_Fold_01",5,"Fold_01",6,"radial",1,0.1,4,0.178725979445433
"SVM","Repeat_05_Fold_01",5,"Fold_01",7,"radial",10,0.1,4,0.196031216225907
"SVM","Repeat_05_Fold_01",5,"Fold_01",8,"radial",100,0.1,4,0.191631883180421
"SVM","Repeat_05_Fold_01",5,"Fold_01",9,"radial",0.1,1,4,0.183912506583056
"SVM","Repeat_05_Fold_01",5,"Fold_01",10,"radial",1,1,4,0.167167431194803
"SVM","Repeat_05_Fold_01",5,"Fold_01",11,"radial",10,1,4,0.174255170924756
"SVM","Repeat_05_Fold_01",5,"Fold_01",12,"radial",100,1,4,0.167344571814802
"SVM","Repeat_05_Fold_02",5,"Fold_02",1,"radial",0.1,0.01,4,0.178325254068775
"SVM","Repeat_05_Fold_02",5,"Fold_02",2,"radial",1,0.01,4,0.141530302794231
"SVM","Repeat_05_Fold_02",5,"Fold_02",3,"radial",10,0.01,4,0.137457892998892
"SVM","Repeat_05_Fold_02",5,"Fold_02",4,"radial",100,0.01,4,0.147476265090625
"SVM","Repeat_05_Fold_02",5,"Fold_02",5,"radial",0.1,0.1,4,0.173677200102139
"SVM","Repeat_05_Fold_02",5,"Fold_02",6,"radial",1,0.1,4,0.164112012609238
"SVM","Repeat_05_Fold_02",5,"Fold_02",7,"radial",10,0.1,4,0.16693036025655
"SVM","Repeat_05_Fold_02",5,"Fold_02",8,"radial",100,0.1,4,0.170101488626908
"SVM","Repeat_05_Fold_02",5,"Fold_02",9,"radial",0.1,1,4,0.214552119834261
"SVM","Repeat_05_Fold_02",5,"Fold_02",10,"radial",1,1,4,0.173925587115254
"SVM","Repeat_05_Fold_02",5,"Fold_02",11,"radial",10,1,4,0.238000404760806
"SVM","Repeat_05_Fold_02",5,"Fold_02",12,"radial",100,1,4,0.232285525859326
"SVM","Repeat_05_Fold_03",5,"Fold_03",1,"radial",0.1,0.01,4,0.19063431024717
"SVM","Repeat_05_Fold_03",5,"Fold_03",2,"radial",1,0.01,4,0.166753555084889
"SVM","Repeat_05_Fold_03",5,"Fold_03",3,"radial",10,0.01,4,0.170218873093428
"SVM","Repeat_05_Fold_03",5,"Fold_03",4,"radial",100,0.01,4,0.161059682837746
"SVM","Repeat_05_Fold_03",5,"Fold_03",5,"radial",0.1,0.1,4,0.165977727447734
"SVM","Repeat_05_Fold_03",5,"Fold_03",6,"radial",1,0.1,4,0.172326329921544
"SVM","Repeat_05_Fold_03",5,"Fold_03",7,"radial",10,0.1,4,0.173704178827014
"SVM","Repeat_05_Fold_03",5,"Fold_03",8,"radial",100,0.1,4,0.167282644309204
"SVM","Repeat_05_Fold_03",5,"Fold_03",9,"radial",0.1,1,4,0.172469267405417
"SVM","Repeat_05_Fold_03",5,"Fold_03",10,"radial",1,1,4,0.196427657535686
"SVM","Repeat_05_Fold_03",5,"Fold_03",11,"radial",10,1,4,0.183496484330501
"SVM","Repeat_05_Fold_03",5,"Fold_03",12,"radial",100,1,4,0.172640657109839
"SVM","Repeat_05_Fold_04",5,"Fold_04",1,"radial",0.1,0.01,4,0.166063574306047
"SVM","Repeat_05_Fold_04",5,"Fold_04",2,"radial",1,0.01,4,0.16312889313742
"SVM","Repeat_05_Fold_04",5,"Fold_04",3,"radial",10,0.01,4,0.172879671213277
"SVM","Repeat_05_Fold_04",5,"Fold_04",4,"radial",100,0.01,4,0.172002091740088
"SVM","Repeat_05_Fold_04",5,"Fold_04",5,"radial",0.1,0.1,4,0.156158030499862
