"CellID","X","Y","Pb_OK","Zn_OK","Cu_OK","Lithology","Dist_Fault","Dist_Silicified","Dist_Brecciated","Min_Dist_to_Occurrence_m","Background_Eligible"
7272,532788.5791,4417739.11,29.5648727416992,54.6684532165527,13.9522409439087,2,536.772766113281,548.862426757812,548.862426757812,653.822065287267,TRUE
7273,532813.5791,4417739.11,29.5147190093994,55.0380172729492,13.952787399292,2,548.862426757812,561.805114746094,561.805114746094,673.451741445893,TRUE
7274,532838.5791,4417739.11,29.4718151092529,55.3858909606934,13.9530429840088,2,561.805114746094,575.543212890625,575.543212890625,693.427143293731,TRUE
7275,532863.5791,4417739.11,29.4907341003418,54.416576385498,15.7796516418457,2,575.543212890625,590.021179199219,590.021179199219,713.719243159734,TRUE
7276,532888.5791,4417739.11,29.5032005310059,57.7893676757812,16.0170211791992,2,590.021179199219,605.185913085938,605.185913085938,734.301786091047,TRUE
7277,532913.5791,4417739.11,29.8767147064209,57.77734375,15.9890041351318,2,605.185913085938,620.987121582031,620.987121582031,755.151023343345,TRUE
7278,532938.5791,4417739.11,29.8597660064697,58.0141792297363,15.9890098571777,2,620.987121582031,637.37744140625,637.37744140625,776.245465723633,TRUE
7279,532963.5791,4417739.11,29.8469524383545,58.2202835083008,15.9890117645264,2,637.37744140625,654.312622070312,654.312622070312,797.565657520745,TRUE
7280,532988.5791,4417739.11,29.8374519348145,58.3978424072266,15.9890117645264,2,651.920227050781,671.75146484375,671.75146484375,819.093970833931,TRUE
7281,531013.5791,4417714.11,35.0955543518066,87.8659362792969,25.6370124816895,3,300,770.146057128906,575.543212890625,1071.51323568897,TRUE
7282,531038.5791,4417714.11,35.1012763977051,87.8684463500977,25.6370124816895,3,301.039855957031,750,555.090087890625,1047.61375003226,TRUE
7283,531063.5791,4417714.11,36.1738510131836,85.6130752563477,25.3390655517578,3,304.138122558594,730.154113769531,535.023376464844,1023.76683100043,TRUE
7284,531088.5791,4417714.11,36.1814002990723,85.6252746582031,25.3390655517578,3,309.232940673828,710.633544921875,515.38818359375,999.976239346042,TRUE
7285,531113.5791,4417714.11,36.1905746459961,85.6400451660156,25.3390655517578,3,316.227783203125,691.465881347656,496.23583984375,976.246093081376,TRUE
7286,531138.5791,4417714.11,35.5922203063965,81.7623901367188,22.9083766937256,3,325,672.681213378906,477.624328613281,952.580909559209,TRUE
7287,531163.5791,4417714.11,35.6062927246094,81.8286590576172,22.908374786377,3,328.823669433594,654.312622070312,459.619415283203,928.985653418097,TRUE
7288,531188.5791,4417714.11,36.5277709960938,78.2827072143555,21.9778842926025,3,333.541595458984,636.396118164062,442.295166015625,905.465791323254,TRUE
7289,531213.5791,4417714.11,36.5388717651367,78.3955764770508,21.9778747558594,3,340.036773681641,618.970947265625,425.734649658203,882.027354596582,TRUE
7290,531238.5791,4417714.11,36.249870300293,81.1713638305664,22.7578220367432,3,348.209716796875,601.040771484375,410.030517578125,858.677011021399,TRUE
7291,531263.5791,4417714.11,36.2508850097656,81.2055740356445,22.757625579834,3,357.945526123047,583.630920410156,395.284698486328,835.422147334294,TRUE
7292,531288.5791,4417714.11,36.0043830871582,76.8835220336914,20.9814434051514,3,364.005493164062,566.789184570312,381.608428955078,812.270964184145,TRUE
7293,531313.5791,4417714.11,35.9802703857422,76.8659210205078,20.9807624816895,3,371.651733398438,550.56787109375,369.120574951172,789.232585653076,TRUE
7294,531338.5791,4417714.11,36.8739395141602,75.6128616333008,20.6480293273926,3,375,535.023376464844,357.945526123047,766.317185802745,TRUE
7295,531363.5791,4417714.11,37.4326286315918,76.3557968139648,20.6632747650146,3,350,520.21630859375,348.209716796875,743.536135138459,TRUE
7296,531388.5791,4417714.11,37.222240447998,78.0095977783203,20.5149765014648,3,325,506.21142578125,340.036773681641,720.902170378642,TRUE
7297,531413.5791,4417714.11,37.0951271057129,77.5566864013672,20.5149726867676,3,300,493.077087402344,333.541595458984,698.429591481228,TRUE
7298,531438.5791,4417714.11,36.0690002441406,76.0897903442383,19.6453990936279,3,275,480.884613037109,328.823669433594,676.134490509568,TRUE
7299,531463.5791,4417714.11,35.948356628418,75.3974838256836,19.6483631134033,3,250,469.707336425781,325.960113525391,654.035017607339,TRUE
7300,531488.5791,4417714.11,36.6398963928223,75.7728958129883,19.7132778167725,3,225,459.619415283203,325,632.151690068634,TRUE
7301,531513.5791,4417714.11,40.0952758789062,75.3514633178711,19.9660606384277,3,200,450.693908691406,325,610.507751184724,TRUE
7302,531538.5791,4417714.11,39.8900184631348,73.9336471557617,19.8336849212646,3,175,443.001129150391,325,589.129586132481,TRUE
7303,531563.5791,4417714.11,32.2308349609375,67.2817306518555,16.7699947357178,3,150,436.606201171875,302.076141357422,568.047202489922,TRUE
7304,531588.5791,4417714.11,32.4740295410156,65.7104949951172,16.4570941925049,3,125,431.56689453125,279.508483886719,547.294782778555,TRUE
7305,531613.5791,4417714.11,33.5659942626953,63.3408164978027,15.856764793396,3,100,427.931060791016,257.390747070312,526.911315362105,TRUE
